Time,generation(kWh),power(W),Irradiance (W/m2)
2022-09-01 00:00:00,0.0,0.0,18.61913333333333
2022-09-01 00:15:00,0.0,0.0,19.18526666666667
2022-09-01 00:30:00,0.0,0.0,19.8244
2022-09-01 00:45:00,0.0,0.0,20.10293333333333
2022-09-01 01:00:00,0.0,0.0,20.19786666666667
2022-09-01 01:15:00,0.0,0.0,20.26393333333333
2022-09-01 01:30:00,0.0,0.0,20.4042
2022-09-01 01:45:00,0.0,0.0,20.10993333333333
2022-09-01 02:00:00,0.0,0.0,19.98473333333333
2022-09-01 02:15:00,0.0,0.0,19.97093333333333
2022-09-01 02:30:00,0.0,0.0,20.25013333333333
2022-09-01 02:45:00,0.0,0.0,20.41926666666667
2022-09-01 03:00:00,0.0,0.0,20.42706666666667
2022-09-01 03:15:00,0.0,0.0,20.39773333333333
2022-09-01 03:30:00,0.0,0.0,20.32513333333333
2022-09-01 03:45:00,0.0,0.0,20.27346666666666
2022-09-01 04:00:00,0.0,0.0,20.50126666666667
2022-09-01 04:15:00,0.0,0.0,20.75153333333333
2022-09-01 04:30:00,0.0,0.0,20.83193333333333
2022-09-01 04:45:00,0.0,0.0,20.8242
2022-09-01 05:00:00,0.0,0.0,20.6846
2022-09-01 05:15:00,0.0,0.0,20.54513333333334
2022-09-01 05:30:00,0.0,0.0,20.7588
2022-09-01 05:45:00,0.0,0.0,21.11173333333333
2022-09-01 06:00:00,0.0,0.0,24.1488
2022-09-01 06:15:00,0.0,0.0,33.92193333333334
2022-09-01 06:30:00,0.0,0.0,55.41593333333334
2022-09-01 06:45:00,0.0,0.0,87.18393333333333
2022-09-01 07:00:00,,,120.0086666666667
2022-09-01 07:15:00,,,172.7806666666667
2022-09-01 07:30:00,,,223.5126666666667
2022-09-01 07:45:00,,,271.164
2022-09-01 08:00:00,,,318.7646666666667
2022-09-01 08:15:00,,,364.8773333333333
2022-09-01 08:30:00,,,406.214
2022-09-01 08:45:00,,,454.456
2022-09-01 09:00:00,,,477.902
2022-09-01 09:15:00,,,463.676
2022-09-01 09:30:00,,,522.4426666666666
2022-09-01 09:45:00,,,613.5066666666667
2022-09-01 10:00:00,,,632.1373333333333
2022-09-01 10:15:00,,,663.1346666666667
2022-09-01 10:30:00,,,675.41
2022-09-01 10:45:00,,,697.8113333333333
2022-09-01 11:00:00,,,706.5913333333333
2022-09-01 11:15:00,,,670.9533333333333
2022-09-01 11:30:00,,,735.4413333333334
2022-09-01 11:45:00,,,741.4646666666666
2022-09-01 12:00:00,,,758.1706666666666
2022-09-01 12:15:00,,,756.6833333333333
2022-09-01 12:30:00,,,668.8
2022-09-01 12:45:00,,,709.4266666666666
